AA,Armed Forces Americas,,1
AE,"Armed Forces Europe, Canada, and Africa",,1
AK,Alaska,Juneau,0
AL,Alabama,Montgomery,0
AP,Armed Forces Pacific,,1
AR,Arkansas,Little Rock,0
AS,American Samoa,Pago Pago,2
AZ,Arizona,Phoenix,0
CA,California,Sacramento,0
CO,Colorado,Denver,0
CT,Connecticut,Hartford,0
DC,Washington D.C.,,0
DE,Delaware,Dover,0
FL,Florida,Tallahassee,0
FM,Micronesia,Palikir,2
GA,Georgia,Atlanta,0
GU,Guam,Hagatna,1
HI,Hawaii,Honolulu,0
IA,Iowa,Des Moines,0
ID,Idaho,Boise,0
IL,Illinois,Springfield,0
IN,Indiana,Indianapolis,0
KS,Kansas,Topeka,0
KY,Kentucky,Frankfort,0
LA,Louisiana,Baton Rouge,0
MA,Massachusetts,Boston,0
MD,Maryland,Annapolis,0
ME,Maine,Augusta,0
MH,Marshall Islands,Majuro,2
MI,Michigan,Lansing,0
MN,Minneasota,Saint Paul,0
MO,Missouri,Jefferson City,0
MP,Northern Mariana Islands,Capitol Hill,2
MS,Mississippi,Jackson,0
MT,Montana,Helena,0
NC,North Carolina,Raleigh,0
ND,North Dakota,Bismarck,0
NE,Nebraska,Lincoln,0
NH,New Hampshire,Concord,0
NJ,New Jersey,Trenton,0
NM,New Mexico,Santa Fe,0
NV,Nevada,Carson City,0
NY,New York,Albany,0
OH,Ohio,Columbus,0
OK,Oklahoma,Oklahoma City,0
OR,Oregon,Salem,0
PA,Pennsylvania,Harrisburg,0
PR,Puerto Rico,San Juan,2
PW,Palau,Ngerulmud,2
RI,Rhode Island,Providence,0
SC,South Carolina,Columbia,0
SD,South Dakota,Pierre,0
TN,Tennessee,Nashville,0
TX,Texas,Austin,0
UT,Utah,Salt Lake City,0
VA,Virginia,Richmond,0
VI,Virgin Islands,Charlotte Amalie,2
VT,Vermont,Montpelier,0
WA,Washington,Olympia,0
WI,Wisconsin,Madison,0
WV,West Virginia,Charleston,0
WY,Wyoming,Cheyenne,0
